id,customer_id,status,created_at,backer_id,shipto_address,shipto_state,shipto_postalcode,subtotal,tax,store_name,delivery_amount,order_total,delivered_at
1,199,Canceled,1398213637,16,086 Welch Parkway,TN,29061-3384,1178.5,70.71,UberMelonX,2.67,1251.88,
7,153,Delivered,1399374572,241,2948 Oak Circle,ND,77402,203,12.18,UberFresh,15.46,230.64,1399441951
9,647,New,1397009811,103,8 Sheridan Point,CO,80423-6650,73.75,4.425,UberFresh,14.88,93.055,
10,301,Canceled,1399081836,68,24689 Jackson Alley,AK,96607,15,0.9,UberMelon,8.09,23.99,
11,526,Out for Delivery,1395023633,,9 Dryden Parkway,MD,14153,68.75,4.125,UberFresh,15.41,88.285,
13,263,Delivered,1395628049,177,1 Stone Corner Plaza,SC,48793,803.75,48.225,UberMelon,12.87,864.845,1395771422
15,787,Delivered,1394900984,245,1 6th Terrace,CA,61523-7951,1274.5,76.47,UberFresh,6.78,1357.75,1394939380
16,241,Canceled,1394602475,203,9342 Lukken Road,MS,74844,75.75,4.545,UberFresh,4.41,84.705,
17,104,Out for Delivery,1400737374,,9 Dovetail Parkway,WV,69145,49.75,2.985,UberFresh,13.42,66.155,
18,498,Canceled,1394797140,188,7923 1st Avenue,NV,58180-6945,218.5,13.11,UberFresh,3.77,235.38,
19,889,Processing,1399828667,20,05743 Parkside Park,WI,1168,115,6.9,UberMelonX,3.83,125.73,
20,462,Canceled,1401004596,,9137 Sloan Junction,AR,26934,261.66,15.6996,UberMelonX,10.24,287.5996,
21,316,Canceled,1400172896,20,76 American Avenue,IN,43335-1885,2053.96,123.2376,UberMelon,13.18,2190.3776,
23,829,New,1400756919,53,917 Roth Plaza,UT,19541,45,2.7,UberMelon,10.21,57.91,
24,287,Processing,1395090307,125,159 Lawn Terrace,OK,71800-6792,323.5,19.41,UberMelon,8.19,351.1,
25,304,Canceled,1400493660,233,027 Norway Maple Pass,ID,32719-3665,69,4.14,UberMelon,4.99,78.13,
28,894,Delivered,1397077992,79,8 Pennsylvania Hill,CA,93728-4300,36,2.16,UberFresh,3.18,41.34,1397097122
29,977,Delivered,1398909180,18,45873 Dakota Park,SD,29802,39,2.34,UberMelonX,4.14,45.48,1399020162
30,172,Canceled,1396139956,,4617 Lunder Circle,NC,90865,88,5.28,UberMelon,2.62,95.9,
31,192,Delivered,1402377972,153,7 Moulton Junction,OR,79150,414.5,24.87,UberMelonX,19.32,458.69,1402440439
32,650,Canceled,1394803464,,093 Division Circle,WV,10745,295.75,17.745,UberMelonX,7.61,321.105,
33,559,New,1400201866,,70 Loomis Junction,KY,66949,427,25.62,UberMelon,2.83,455.45,
34,920,Canceled,1399742963,205,45 Rowland Park,MA,74689,95,5.7,UberMelon,2.83,103.53,
35,926,Out for Delivery,1395467690,,3908 Red Cloud Circle,IA,43476,39.5,2.37,UberMelon,15.73,57.6,
36,933,Delivered,1400764285,,97583 Bartelt Hill,KY,65709-3577,35.75,2.145,UberMelonX,8.02,45.915,1400921929
39,566,Delivered,1401543934,,2 Oneill Lane,TX,94584-4804,71,4.26,UberMelon,12.63,87.89,1401582880
40,440,New,1402513156,85,578 Delaware Road,GA,46690,533,31.98,UberFresh,17.83,582.81,
45,734,New,1395935394,,24 Jenna Crossing,FL,27154,163.75,9.825,UberMelonX,8.99,182.565,
46,237,New,1399628959,34,73964 Packers Circle,OK,2522,157.5,9.45,UberFresh,17.99,184.94,
50,698,Processing,1401712785,79,17 Homewood Center,AR,88803-2827,122.75,7.365,UberMelon,5.41,135.525,
54,217,Delivered,1400232463,,362 Alpine Street,AK,92620,51.75,3.105,UberMelonX,18.48,73.335,1400363190
56,552,Processing,1400881790,,4 Little Fleur Pass,CT,34327-7837,50.75,3.045,UberFresh,11.84,65.635,
59,331,Out for Delivery,1402152960,70,6512 Marquette Park,MA,7650,235,14.1,UberFresh,8.51,257.61,
60,134,Delivered,1400193892,,49671 Mayer Parkway,NH,63387-5084,5.94,0.3564,UberMelonX,9.85,16.1464,1400233924
62,661,New,1394441105,,0 Starling Parkway,MO,30440,38.5,2.31,UberFresh,8.22,49.03,
63,96,New,1397382749,171,04123 Sachs Terrace,MD,19632-7897,225,13.5,UberFresh,10.83,249.33,
64,1,Out for Delivery,1395817063,154,49731 Northview Avenue,MD,77134-6809,365.5,21.93,UberMelon,16.63,404.06,
65,432,Out for Delivery,1396712927,,19086 Burning Wood Center,IN,05777-3499,765,45.9,UberMelonX,8.35,819.25,
67,72,Out for Delivery,1394228164,201,36512 Hollow Ridge Road,SD,33597-5478,49,2.94,UberMelon,13.64,65.58,
68,215,Out for Delivery,1401933186,,23047 Glendale Circle,WI,43012,7.92,0.4752,UberFresh,4.59,12.9852,
70,110,New,1396023233,79,687 Knutson Lane,MD,44577,881,52.86,UberMelonX,15.25,949.11,
71,934,New,1397407988,,9 Shoshone Park,IA,207,37.41,2.2446,UberFresh,12.35,52.0046,
72,883,Delivered,1402363785,225,462 Thierer Road,LA,50449,45.5,2.73,UberMelonX,3.44,51.67,1402409021
73,846,Delivered,1399964765,,5902 Carberry Junction,SC,4358,135,8.1,UberMelonX,5.48,148.58,1400047197
74,385,Canceled,1400760990,129,126 Farragut Parkway,VT,78720,54.48,3.2688,UberMelon,7.53,65.2788,
76,560,Processing,1396966613,162,6 Starling Avenue,MI,64975,236,14.16,UberMelon,9.62,259.78,
77,596,Processing,1398613067,77,59 Autumn Leaf Drive,VT,76822-0157,20.5,1.23,UberMelon,9.47,31.2,
79,788,Delivered,1398518000,204,927 Del Sol Place,CT,87392-4085,1258.5,75.51,UberMelonX,8.05,1342.06,1398538081
80,722,New,1400303432,,451 Vernon Street,MS,24234-2300,97.5,5.85,UberFresh,7.58,110.93,
81,357,Delivered,1399776569,95,7 Vernon Place,ID,16140-8037,182,10.92,UberMelonX,8.14,201.06,1399938608
83,750,Canceled,1399342669,24,1324 6th Way,NY,27118-7349,2833,169.98,UberMelon,10.4,3013.38,
85,395,Out for Delivery,1394138846,,51049 Pennsylvania Drive,NY,24176,32.5,1.95,UberFresh,19.02,53.47,
86,617,New,1399127244,152,5 Clarendon Terrace,WY,37543-7258,17.5,1.05,UberMelonX,11.78,30.33,
87,108,New,1399474155,105,2 Becker Court,IA,25697-9004,220.25,13.215,UberFresh,18.82,252.285,
88,497,Delivered,1401525737,,478 Blaine Alley,TX,14655,156,9.36,UberMelonX,8.44,173.8,1401655925
89,538,Delivered,1397096361,9,23 Gina Hill,NE,17145-8770,2.97,0.1782,UberMelonX,13.76,16.9082,1397133558
90,113,Canceled,1399859019,205,42 Mifflin Hill,MN,92434,76.75,4.605,UberFresh,3.12,84.475,
91,112,Processing,1401351269,87,5 Summerview Hill,NV,88381-7578,1026.5,61.59,UberMelonX,13.15,1101.24,
93,979,Canceled,1401550002,,62815 Chive Court,NE,38725,175.5,10.53,UberMelon,11.36,197.39,
95,528,Canceled,1400777302,,752 Vernon Lane,NE,55199,49,2.94,UberMelon,8.54,60.48,
97,669,Canceled,1401065337,,968 Hazelcrest Junction,MS,81180-9448,169,10.14,UberMelonX,12.08,191.22,
98,578,New,1399578926,,69 Shopko Avenue,GA,34183,55.25,3.315,UberFresh,4.64,63.205,
99,114,Delivered,1397760569,43,2450 Golf Trail,NC,98302-3907,1034.45,62.067,UberFresh,16.66,1113.177,1397808363
100,760,New,1397528349,237,5273 Washington Terrace,NV,76471-3047,298.75,17.925,UberFresh,16.87,333.545,
101,91,Canceled,1395324876,,74925 Anzinger Pass,WA,80448,102.5,6.15,UberFresh,17.93,126.58,
102,673,Canceled,1402348415,149,3 Norway Maple Junction,MA,27893-1845,117.94,7.0764,UberMelonX,17.83,142.8464,
103,586,New,1394292696,162,71 Kenwood Terrace,UT,67337,121,7.26,UberMelon,3.58,131.84,
105,125,Out for Delivery,1395314395,,1259 Bobwhite Pass,FL,29857-4793,204.5,12.27,UberMelon,19.82,236.59,
107,231,Delivered,1395915099,,47 7th Hill,DE,55923,44.5,2.67,UberMelon,14.55,61.72,1395979456
108,280,Out for Delivery,1399372554,157,5 3rd Park,NE,1102,31,1.86,UberMelon,9.64,42.5,
109,907,Delivered,1399262068,68,9 Crescent Oaks Street,VA,3045,20,1.2,UberFresh,12.4,33.6,1399371517
113,476,Processing,1401062205,,918 Manley Avenue,NV,54912,5466.5,327.99,UberFresh,10.52,5805.01,
115,777,New,1394410332,,47 Wayridge Crossing,SD,97800,35.5,2.13,UberMelon,14.15,51.78,
116,456,Out for Delivery,1396946589,146,02486 Warner Junction,MN,79643,32,1.92,UberMelon,10,43.92,
120,670,Processing,1400863626,,7 Ridgeway Avenue,SD,19192,60.5,3.63,UberFresh,11.71,75.84,
121,48,New,1397319869,,0 Rockefeller Hill,OH,75181-1807,57.25,3.435,UberMelon,9.77,70.455,
122,682,Processing,1400019471,,5 Lindbergh Pass,TX,53477-0339,117,7.02,UberFresh,6.21,130.23,
123,678,New,1401617535,85,5613 Moulton Circle,MT,11930,61,3.66,UberMelonX,2.34,67,
124,195,Delivered,1395888600,,7 Lakewood Gardens Parkway,RI,64934-2008,53.75,3.225,UberMelonX,16.17,73.145,1396021997
126,470,New,1397221756,,3450 Schlimgen Junction,UT,94586,87,5.22,UberFresh,3.07,95.29,
127,246,Out for Delivery,1400241421,,3120 Myrtle Road,GA,02860-7115,376.5,22.59,UberMelonX,7.59,406.68,
128,877,Processing,1402435970,,0 Oak Lane,TX,68428,49,2.94,UberMelon,8.29,60.23,
129,250,Delivered,1394861195,,35 Northfield Circle,VT,83988,297.42,17.8452,UberMelonX,15.88,331.1452,1394996434
130,447,New,1400690088,,43205 Erie Drive,RI,58136,324.25,19.455,UberMelonX,11.09,354.795,
131,948,Processing,1395685622,,06 Towne Pass,OR,41317-2184,7260,435.6,UberMelon,6.83,7702.43,
132,680,Canceled,1401282826,50,087 Mockingbird Circle,WI,90418-9452,18,1.08,UberMelonX,17.62,36.7,
133,610,New,1395188713,,20719 Redwing Crossing,SC,35578-0555,76.25,4.575,UberFresh,15.76,96.585,
134,484,Canceled,1400803682,182,9 Thackeray Circle,SD,46495,337,20.22,UberMelon,18.77,375.99,
135,776,New,1400260817,,2804 Dovetail Point,WA,89211,175.75,10.545,UberMelon,7.14,193.435,
136,444,Canceled,1398387605,12,4 Utah Parkway,LA,66995,96.5,5.79,UberMelon,9.16,111.45,
137,268,New,1397884194,,7 Emmet Crossing,AZ,26727,1517,91.02,UberMelon,6.88,1614.9,
139,663,Delivered,1402604170,,7318 Sullivan Center,ME,72712-1998,30,1.8,UberFresh,5.59,37.39,1402655817
141,833,Canceled,1395514933,1,9718 Portage Plaza,IL,57875-7796,148.25,8.895,UberMelon,15.47,172.615,
